Date,Message
2025-10-01T08:00:00.000-00:00,"1,0.09,100,1.73,0.24,NaN,0,1,1,4,2"
2025-10-01T10:15:00.000-00:00,"1,0.58,100,0.84,0.93,NaN,0,2,0,5,3"
2025-10-01T11:45:00.000-00:00,"1,0.07,100,0.67,0.38,NaN,0,2,1,1,0"
2025-10-01T19:15:00.000-00:00,"1,0.63,100,1.57,0.12,NaN,0,3,0,2,1"
2025-10-01T19:45:00.000-00:00,"0,0.05,100,0.56,0.33,NaN,0,3,1,1,0"
2025-10-02T05:00:00.000-00:00,"1,0.3,100,0.69,2.22,NaN,0,1,1,5,8"
2025-10-02T20:00:00.000-00:00,"1,0.28,100,2.32,0.11,NaN,0,3,1,5,1"
2025-10-03T04:30:00.000-00:00,"1,0.16,100,1.21,0.56,-91.32,0,1,0,1,1"
2025-10-03T06:15:00.000-00:00,"0,0.77,100,2.29,0.7,-102.29,0,1,0,6,0"
2025-10-03T06:45:00.000-00:00,"1,0.82,100,1.29,0.44,-81.79,0,1,1,1,0"
2025-10-03T17:15:00.000-00:00,"1,0.59,100,1.91,0.24,59.34,1,3,0,1,4"
2025-10-03T17:45:00.000-00:00,"1,0.16,100,1.2,0.18,35.69,1,3,0,5,3"
2025-10-05T22:00:00.000-00:00,"1,0.11,100,0.71,2.5,-166.74,0,1,1,2,0"
2025-10-06T01:30:00.000-00:00,"1,0.05,100,2.77,0.08,-130.09,0,1,1,1,14"
2025-10-06T01:45:00.000-00:00,"0,3.06,100,1.13,0.71,-105.47,0,1,0,3,16"
2025-10-06T05:00:00.000-00:00,"1,0.78,100,1.61,0.11,24.28,1,1,0,9,3"
2025-10-06T12:45:00.000-00:00,"0,0.24,100,0.6,0.64,-13.52,0,2,0,1,17"
2025-10-06T12:45:00.000-00:00,"0,0.12,100,0.67,0.54,29.34,1,2,0,19,0"
2025-10-06T22:00:00.000-00:00,"0,0.17,100,0.7,0.64,106.78,1,1,1,3,0"
2025-10-07T01:15:00.000-00:00,"0,0.74,100,1.38,0.5,26.6,1,1,0,1,0"
2025-10-07T01:15:00.000-00:00,"1,0.8,100,4.52,0.09,38.83,1,4,1,48,1"
2025-10-07T12:15:00.000-00:00,"0,0.4,100,2.75,0.5,-164.66,0,2,1,1,2"
2025-10-07T20:30:00.000-00:00,"0,0.16,100,1.09,0.33,-194.91,0,3,0,3,1"
2025-10-07T23:45:00.000-00:00,"1,0.29,100,1.28,0.42,-169.84,0,1,0,6,0"
2025-10-08T00:30:00.000-00:00,"0,0.48,100,2.7,0.44,-179.64,0,1,1,1,0"
2025-10-08T12:00:00.000-00:00,"1,0.26,100,0.66,0.18,-137.65,0,2,1,2,3"
2025-10-08T18:15:00.000-00:00,"0,0.58,100,2.36,0,-58.03,0,3,0,2,6"
2025-10-09T02:30:00.000-00:00,"1,0.97,100,1.56,0.34,60.07,1,1,1,6,2"
2025-10-09T05:45:00.000-00:00,"1,0.23,100,2.5,0,186.88,1,1,0,4,0"
2025-10-09T05:45:00.000-00:00,"1,0.03,100,0.53,1.11,167.32,1,1,1,5,0"
2025-10-09T06:00:00.000-00:00,"1,0.42,100,1.79,0.08,155.44,1,1,0,7,0"
