Date,Message
2025-12-01T01:15:00.000-00:00,"0,0,100,1,0.03,NaN,0,1,1,1,0"
2025-12-01T13:00:00.000-00:00,"0,0.36,100,2.51,0.26,NaN,0,4,1,3,0"
2025-12-01T15:00:00.000-00:00,"0,0.17,100,1.38,0.06,NaN,0,4,1,8,4"
2025-12-01T16:30:00.000-00:00,"0,0.13,100,3.87,0.02,NaN,0,3,1,3,0"
2025-12-01T21:15:00.000-00:00,"0,1.45,100,3.54,0.03,NaN,0,3,0,4,19"
2025-12-02T08:00:00.000-00:00,"1,0.14,100,0.22,2.29,NaN,0,1,0,2,14"
2025-12-02T22:00:00.000-00:00,"0,0.97,100,3.62,0.02,NaN,0,3,0,3,3"
2025-12-02T22:45:00.000-00:00,"0,0.7,100,3.34,0.05,NaN,0,3,0,7,3"
2025-12-03T00:30:00.000-00:00,"0,0.57,100,1.29,0.13,NaN,0,1,1,1,2"
2025-12-03T00:45:00.000-00:00,"1,0.07,100,0.78,0.22,NaN,0,1,1,9,4"
2025-12-03T05:30:00.000-00:00,"1,0.47,100,4.16,0.01,489097.27,1,1,1,2,11"
2025-12-03T18:45:00.000-00:00,"1,0.2,100,0.58,0.39,282453.65,1,3,0,1,2"
2025-12-03T22:30:00.000-00:00,"1,0.12,100,1.45,0.01,285054.73,1,1,1,3,0"
2025-12-04T00:15:00.000-00:00,"1,0.03,100,1.21,0.4,253820.33,1,3,1,17,0"
2025-12-04T07:30:00.000-00:00,"1,0.23,100,1.87,0.15,172351.58,1,1,1,1,3"
2025-12-04T21:30:00.000-00:00,"1,0.09,100,0.99,0.13,42406.74,1,1,0,1,1"
2025-12-04T22:30:00.000-00:00,"0,0.16,100,0.49,0.3,34130.72,1,1,0,1,2"
2025-12-05T04:30:00.000-00:00,"0,0.06,100,0.75,0.08,30590.37,1,1,1,1,2"
2025-12-05T08:00:00.000-00:00,"1,0.19,100,0.57,1.64,25646.9,1,2,0,1,2"
2025-12-05T10:30:00.000-00:00,"0,0.71,100,1.55,0.21,-78708.8,0,2,0,1,2"
2025-12-05T15:00:00.000-00:00,"0,0.55,100,4.34,0.57,-90602.92,0,4,1,6,0"
2025-12-05T18:00:00.000-00:00,"0,0.23,100,0.49,0.57,-253395.89,0,3,0,5,1"
2025-12-05T22:15:00.000-00:00,"0,0.13,100,0.85,0.73,-201484.85,0,1,1,1,0"
2025-12-06T08:15:00.000-00:00,"1,0.63,100,6.41,0.08,-137922.98,0,1,0,17,3"
2025-12-06T17:15:00.000-00:00,"0,0.1,100,0.93,0.23,-56001.01,0,3,1,1,0"
2025-12-07T00:15:00.000-00:00,"0,0.29,100,1.74,0.83,-92131.71,0,1,0,2,2"
2025-12-07T06:00:00.000-00:00,"0,0.31,100,1.18,1.19,-43092.15,0,1,1,5,0"
2025-12-07T07:00:00.000-00:00,"1,0.23,100,2.07,0.32,-35792.35,0,1,0,1,1"
2025-12-07T09:15:00.000-00:00,"0,0.19,100,0.73,1.12,-56652.35,0,2,1,1,6"
2025-12-07T14:30:00.000-00:00,"0,1.92,100,3.13,0.1,-193583.95,0,3,1,43,142"
2025-12-07T15:00:00.000-00:00,"0,1.6,100,4.95,0.1,-118668.05,0,3,0,2,0"
2025-12-07T23:45:00.000-00:00,"0,0.36,100,3.35,0.39,-15667.54,0,1,0,1,5"
