Date,Message
2025-10-01T07:30:00.000-00:00,"0,1.41,100,3.64,0.01,NaN,0,1,1,10,0"
2025-10-01T09:45:00.000-00:00,"0,0.95,100,2.05,0,NaN,0,1,1,20,0"
2025-10-01T10:15:00.000-00:00,"0,0.78,100,2.38,0,NaN,0,1,0,22,1"
2025-10-01T10:15:00.000-00:00,"0,0.6,100,2.13,0.19,NaN,0,1,0,24,0"
2025-10-01T12:00:00.000-00:00,"0,0.13,100,0.88,0.19,NaN,0,2,1,2,0"
2025-10-01T18:15:00.000-00:00,"0,0.26,100,0.92,0,NaN,0,3,1,1,3"
2025-10-01T18:15:00.000-00:00,"1,0.03,100,1.06,0.41,NaN,0,3,0,11,0"
2025-10-01T19:45:00.000-00:00,"0,0.43,100,1.17,0,NaN,0,3,0,2,3"
2025-10-01T20:45:00.000-00:00,"1,0.06,100,1.61,0.26,NaN,0,3,0,2,0"
2025-10-02T01:15:00.000-00:00,"1,0.92,100,6.77,0.03,NaN,0,1,0,4,0"
2025-10-02T06:30:00.000-00:00,"0,0.36,100,2.72,0.32,NaN,0,1,1,1,0"
2025-10-02T06:30:00.000-00:00,"0,0.12,100,0.52,0.4,NaN,0,1,1,2,0"
2025-10-02T15:45:00.000-00:00,"1,0.46,100,0.61,1.11,NaN,0,3,1,1,0"
2025-10-03T00:15:00.000-00:00,"0,0.74,100,0,0,NaN,0,1,0,1,1"
2025-10-03T04:30:00.000-00:00,"0,0.11,100,1.58,0.17,132.65,1,1,0,1,1"
2025-10-03T06:00:00.000-00:00,"1,0.23,100,1.01,1,135.16,1,1,1,5,0"
2025-10-03T07:45:00.000-00:00,"1,0.33,100,0.5,2.32,NaN,0,3,0,19,47"
2025-10-06T03:45:00.000-00:00,"0,0.1,100,0.62,0.18,220.37,1,1,0,1,5"
2025-10-06T12:00:00.000-00:00,"1,0.18,100,0.2,0.71,490.21,1,2,0,2,14"
2025-10-06T13:45:00.000-00:00,"0,0.34,100,2.18,0.26,288.18,1,4,1,1,2"
2025-10-06T16:00:00.000-00:00,"1,0.07,100,0.22,3.87,127.86,1,3,1,1,0"
2025-10-06T16:00:00.000-00:00,"0,0.59,100,1.35,0.15,112.81,1,3,0,1,3"
2025-10-07T13:15:00.000-00:00,"1,0.88,100,2.08,0.05,353,1,2,0,2,5"
2025-10-07T18:00:00.000-00:00,"0,0.92,100,3.14,0.05,276.45,1,3,0,5,6"
2025-10-07T20:30:00.000-00:00,"1,0.09,100,1.11,0.46,407.18,1,3,0,1,2"
2025-10-07T20:30:00.000-00:00,"1,0.13,100,0.7,0.73,386.31,1,3,1,4,0"
2025-10-07T23:45:00.000-00:00,"0,0.13,100,0.8,0.33,354.08,1,1,0,5,0"
2025-10-08T01:00:00.000-00:00,"1,1.37,100,6.25,0.18,389.1,1,1,1,2,1"
2025-10-08T15:30:00.000-00:00,"0,0.81,100,1.82,0.03,406.98,1,2,0,18,2"
2025-10-08T16:30:00.000-00:00,"1,0.94,100,3.64,0.2,503.09,1,1,1,25,35"
2025-10-08T18:15:00.000-00:00,"1,0.05,100,0.95,0.05,460.68,1,3,0,1,7"
2025-10-08T22:00:00.000-00:00,"1,0.62,100,2.46,0.12,337.78,1,3,0,18,9"
2025-10-09T06:30:00.000-00:00,"0,0.29,100,0.88,0.76,349.11,1,3,0,41,0"
2025-10-09T07:30:00.000-00:00,"1,0.9,100,1.02,0.13,295.51,1,1,1,1,2"
2025-10-09T11:00:00.000-00:00,"1,0.07,100,1.89,0.24,207.46,1,2,1,1,0"
2025-10-09T13:30:00.000-00:00,"1,1.09,100,2.11,0.01,247.38,1,1,1,10,18"
2025-10-09T19:30:00.000-00:00,"1,0.18,100,2.93,0.38,622.5,1,3,0,1,1"
2025-10-09T19:45:00.000-00:00,"1,0.25,100,0.73,0.42,604.34,1,3,0,3,1"
2025-10-10T05:45:00.000-00:00,"0,0.03,100,0.2,6.33,300.2,1,1,1,1,1"
2025-10-10T08:00:00.000-00:00,"1,0.39,100,1.57,0,634.05,1,3,0,1,59"
2025-10-10T09:15:00.000-00:00,"0,0.69,100,2.01,0.01,224.58,1,2,0,2,2"
2025-10-10T10:15:00.000-00:00,"1,0.48,100,1.36,0.11,252.13,1,2,0,1,2"
2025-10-10T10:45:00.000-00:00,"1,0.33,100,1.22,0.09,227.32,1,2,1,4,2"
2025-10-13T11:45:00.000-00:00,"0,2.46,100,8.06,0.39,8.14,1,3,0,24,54"
2025-10-13T15:00:00.000-00:00,"1,0.07,100,0.77,0.2,221.04,1,3,0,1,1"
2025-10-13T20:45:00.000-00:00,"1,0.03,100,1.86,0,157.79,1,3,0,1,2"
2025-10-13T23:30:00.000-00:00,"0,0.22,100,0.94,0.06,134.5,1,1,0,3,1"
2025-10-14T06:15:00.000-00:00,"0,0.85,100,4.3,0,62.66,1,1,0,10,0"
2025-10-14T07:15:00.000-00:00,"1,0.42,100,1.15,0.42,122.75,1,1,1,1,1"
2025-10-14T07:15:00.000-00:00,"0,0.4,100,1.7,0.1,164.13,1,1,0,21,3"
2025-10-14T08:45:00.000-00:00,"1,0.49,100,2.2,0.05,229.17,1,2,0,1,3"
2025-10-14T14:45:00.000-00:00,"1,0.98,100,1.9,0.03,83.61,1,1,0,28,5"
2025-10-14T15:45:00.000-00:00,"0,0.7,100,1.88,0.23,104.97,1,4,1,2,7"
2025-10-14T20:45:00.000-00:00,"1,0.19,100,1.63,0.11,-98.78,0,3,0,1,0"
2025-10-15T05:45:00.000-00:00,"0,0.51,100,2.66,0.03,-244.16,0,1,0,1,0"
2025-10-15T09:45:00.000-00:00,"1,0.1,100,1.32,0.68,-234.62,0,2,0,1,1"
2025-10-15T18:15:00.000-00:00,"1,0.06,100,0.59,0.94,-195.48,0,3,0,1,1"
2025-10-15T18:15:00.000-00:00,"1,0.18,100,0.54,0.47,-222.87,0,3,1,3,0"
2025-10-16T00:00:00.000-00:00,"0,1.21,100,2.95,0.3,-235.18,0,3,1,2,26"
2025-10-16T04:15:00.000-00:00,"0,0.16,100,1.6,0.02,-388.57,0,1,0,13,1"
2025-10-16T05:30:00.000-00:00,"1,0.18,100,0.86,0.2,-290.75,0,1,1,3,0"
