Date,Message
2025-10-01T02:00:00.000-00:00,"1,0.22,100,0.51,3.09,NaN,0,1,0,4,3"
2025-10-01T07:00:00.000-00:00,"0,0.85,100,1.53,0.26,NaN,0,1,1,1,2"
2025-10-01T10:00:00.000-00:00,"0,0.27,100,2.61,0,NaN,0,2,1,1,8"
2025-10-01T12:15:00.000-00:00,"0,0.27,100,0.85,0.09,NaN,0,2,1,3,4"
2025-10-02T01:00:00.000-00:00,"1,0.38,100,2.48,0.04,NaN,0,1,1,6,0"
2025-10-02T03:45:00.000-00:00,"1,0.86,100,1.68,0.35,NaN,0,1,0,3,1"
2025-10-02T04:15:00.000-00:00,"0,0.18,100,1.44,0.19,NaN,0,1,0,1,1"
2025-10-02T12:30:00.000-00:00,"0,0.35,100,1.56,0.87,NaN,0,2,0,12,2"
2025-10-03T00:00:00.000-00:00,"0,0.02,100,2.37,0.13,NaN,0,3,0,2,37"
2025-10-03T00:00:00.000-00:00,"0,0.11,100,0.82,2.05,NaN,0,3,0,40,0"
2025-10-06T03:45:00.000-00:00,"1,0.07,100,0.29,0.29,2347.63,1,1,1,1,4"
2025-10-06T06:00:00.000-00:00,"1,0.22,100,3.74,0.35,2477.66,1,1,0,2,3"
2025-10-06T10:00:00.000-00:00,"1,0.52,100,1.18,0.13,1442.21,1,2,0,2,3"
2025-10-06T18:45:00.000-00:00,"1,0.22,100,1.87,0.25,1400.73,1,3,1,2,13"
2025-10-06T22:15:00.000-00:00,"0,0.04,100,2.5,0.33,1366.9,1,1,0,1,2"
2025-10-07T10:30:00.000-00:00,"0,0.25,100,1.73,0.12,820.41,1,2,0,2,10"
2025-10-07T18:15:00.000-00:00,"1,0.13,100,0.6,0.11,1330.03,1,3,1,1,2"
2025-10-07T19:30:00.000-00:00,"0,0.07,100,0.95,0.47,1426.75,1,3,1,1,0"
2025-10-08T08:15:00.000-00:00,"1,0.22,100,2.82,0.03,1074.54,1,2,0,1,0"
2025-10-08T17:45:00.000-00:00,"0,0.37,100,2.8,0.28,828.23,1,3,0,1,10"
2025-10-08T23:15:00.000-00:00,"0,0.27,100,0.78,0.66,697.47,1,1,1,1,0"
2025-10-09T09:45:00.000-00:00,"0,0.16,100,1.22,0.52,441.89,1,2,1,1,2"
2025-10-09T23:00:00.000-00:00,"0,0.57,100,1.21,0.03,-144.98,0,3,0,6,23"
2025-10-10T03:30:00.000-00:00,"0,0.19,100,0.89,0.35,-129.59,0,1,1,1,8"
2025-10-10T04:30:00.000-00:00,"0,0.42,100,1.47,0.36,-298.98,0,1,0,2,0"
2025-10-10T05:15:00.000-00:00,"1,0.54,100,1.51,0.16,-275.76,0,1,1,1,1"
2025-10-10T11:15:00.000-00:00,"1,0.48,100,0.84,0.46,-159.66,0,2,0,5,10"
2025-10-10T15:15:00.000-00:00,"0,0.82,100,4.97,0.02,-374.53,0,2,1,2,12"
2025-10-10T16:45:00.000-00:00,"1,0.35,100,1.12,0.34,-408.44,0,3,0,1,1"
2025-10-10T19:30:00.000-00:00,"0,0.49,100,1.37,0.21,-627.03,0,3,1,1,8"
2025-10-13T01:30:00.000-00:00,"0,0.83,100,2.01,0.02,-509.75,0,3,0,16,18"
2025-10-13T06:15:00.000-00:00,"0,0.24,100,5,0.15,-249.6,0,1,0,2,1"
2025-10-13T12:30:00.000-00:00,"0,0.11,100,0.79,0.4,-538.61,0,2,1,3,0"
2025-10-14T00:30:00.000-00:00,"1,0.15,100,0.5,0.67,-398.55,0,3,1,2,39"
2025-10-14T22:00:00.000-00:00,"1,0.09,100,3.04,0.07,-35.99,0,1,1,2,2"
2025-10-15T06:00:00.000-00:00,"1,0.15,100,1.46,0.55,-522.55,0,1,1,9,0"
2025-10-15T06:00:00.000-00:00,"0,0.37,100,1.41,0.16,-381.68,0,1,1,11,4"
2025-10-15T21:45:00.000-00:00,"0,0.43,100,1.16,0.32,-71.09,0,1,1,1,2"
2025-10-16T10:00:00.000-00:00,"1,0.26,100,0.47,0.82,322.82,1,2,0,1,2"
2025-10-16T10:45:00.000-00:00,"1,0.48,100,1.07,0,257.25,1,2,0,5,2"
2025-10-16T16:30:00.000-00:00,"0,0.38,100,1.01,0.56,-127.95,0,3,1,1,2"
2025-10-16T17:15:00.000-00:00,"0,0.9,100,1.43,0.33,-352.32,0,3,0,1,1"
2025-10-17T07:45:00.000-00:00,"0,0.16,100,1.99,0.34,-700.22,0,2,0,1,1"
2025-10-17T11:00:00.000-00:00,"0,1.3,100,4.48,0.12,-522.6,0,2,0,3,13"
2025-10-17T16:00:00.000-00:00,"0,0.53,100,1.53,0.14,-324.38,0,3,0,2,1"
2025-10-19T21:15:00.000-00:00,"1,0.33,100,1.15,0.25,-203.15,0,3,0,2,18"
2025-10-19T22:15:00.000-00:00,"1,0.85,100,4.65,0.04,-399.22,0,2,1,9,35"
2025-10-20T02:15:00.000-00:00,"1,1.24,100,4.09,0,416.13,1,1,0,1,3"
2025-10-20T09:30:00.000-00:00,"0,0.35,100,3.27,0.65,-162.63,0,2,1,1,0"
2025-10-20T10:15:00.000-00:00,"1,0.37,100,0.46,0.45,-28.99,0,2,0,1,0"
2025-10-20T17:00:00.000-00:00,"0,0.26,100,1.04,0.19,-189.32,0,3,0,3,7"
2025-10-21T04:30:00.000-00:00,"1,0.84,100,1.63,0,73.01,1,1,1,7,3"
2025-10-21T06:30:00.000-00:00,"1,0.44,100,0.99,1.23,319.82,1,1,1,4,0"
2025-10-21T13:45:00.000-00:00,"1,0.15,100,1.09,0.08,485.18,1,2,0,16,2"
2025-10-21T13:45:00.000-00:00,"1,0.21,100,0.58,0.31,424.37,1,2,0,19,0"
2025-10-21T14:00:00.000-00:00,"1,0.41,100,1.49,0.07,301.76,1,2,0,21,0"
2025-10-21T21:15:00.000-00:00,"0,0.21,100,1.74,0.47,278.88,1,3,0,1,3"
2025-10-21T23:45:00.000-00:00,"1,0.02,100,1.47,0.22,255.99,1,1,0,2,1"
2025-10-22T00:45:00.000-00:00,"0,0.06,100,1.76,0.39,71.26,1,1,1,1,0"
2025-10-22T03:45:00.000-00:00,"0,1.25,100,3.09,0.3,143.28,1,1,0,7,7"
2025-10-22T12:45:00.000-00:00,"0,0.05,100,1.93,0,-137.65,0,2,0,1,8"
2025-10-22T18:00:00.000-00:00,"0,0.08,100,0.31,5.33,164.75,1,3,1,2,0"
2025-10-22T20:30:00.000-00:00,"1,0.15,100,0.79,0.38,300.75,1,3,1,4,0"
2025-10-22T23:45:00.000-00:00,"0,0.11,100,5.8,0.69,290.7,1,1,0,1,5"
2025-10-23T01:15:00.000-00:00,"1,0.24,100,3.57,0.21,430.84,1,1,1,1,2"
2025-10-23T05:45:00.000-00:00,"0,0.06,100,0.15,3.83,486.38,1,1,0,1,0"
2025-10-23T06:30:00.000-00:00,"1,0.76,100,2.02,0.22,566.1,1,1,1,8,12"
2025-10-23T07:15:00.000-00:00,"1,0.38,100,0.92,0.6,558.54,1,1,0,2,0"
2025-10-23T13:30:00.000-00:00,"1,0.06,100,0.24,1.48,605.77,1,2,1,4,17"
2025-10-24T00:45:00.000-00:00,"0,0.12,100,1.11,0.06,734.05,1,3,0,1,30"
2025-10-24T05:30:00.000-00:00,"1,0.17,100,1.6,1.76,630.37,1,1,1,1,0"
2025-10-24T14:00:00.000-00:00,"1,0.29,100,0.87,0.82,593.77,1,4,1,3,0"
2025-10-27T06:00:00.000-00:00,"1,0.65,100,2.28,0.11,610.18,1,1,0,2,1"
2025-10-27T06:15:00.000-00:00,"1,0.25,100,2.91,0.03,580.41,1,1,0,3,2"
2025-10-27T11:15:00.000-00:00,"1,0.02,100,0.86,0.75,350.2,1,2,0,1,2"
2025-10-27T22:00:00.000-00:00,"1,1.11,100,3.23,0.07,541.08,1,4,0,2,31"
2025-10-28T08:30:00.000-00:00,"0,0.62,100,1.53,0.15,-407.44,0,1,1,6,8"
2025-10-28T22:00:00.000-00:00,"0,0.71,100,1.68,0.28,-253.52,0,3,0,1,8"
2025-10-28T23:45:00.000-00:00,"0,0.53,100,1.56,0.14,-195.67,0,3,1,10,7"
2025-10-29T03:15:00.000-00:00,"1,0.25,100,1.8,0.19,-378.24,0,1,0,1,2"
2025-10-29T05:30:00.000-00:00,"0,0.3,100,1,0.56,-142.6,0,3,1,41,0"
2025-10-29T06:45:00.000-00:00,"1,2.01,100,6.18,0.01,-216,0,1,0,2,3"
2025-10-29T07:15:00.000-00:00,"0,0.09,100,0.83,0.39,-334.82,0,2,1,1,0"
2025-10-29T08:00:00.000-00:00,"0,0.5,100,0.65,0.1,-284.91,0,1,1,5,0"
2025-10-30T03:15:00.000-00:00,"0,0.53,100,1.75,0.32,-209.02,0,1,1,1,0"
2025-10-30T04:00:00.000-00:00,"1,0.34,100,0.42,1.13,377.76,1,1,0,1,0"
2025-10-30T09:00:00.000-00:00,"1,0.28,100,1.92,0.06,1126.23,1,2,1,1,1"
2025-10-30T22:00:00.000-00:00,"1,0.13,100,2.95,0.05,474.09,1,3,0,1,4"
2025-10-30T22:00:00.000-00:00,"1,0.08,100,0.87,0.21,442.41,1,3,1,6,0"
2025-10-30T23:45:00.000-00:00,"0,0.59,100,1.17,0.19,652.46,1,3,1,20,12"
