Date,Message
2025-10-01T01:15:00.000-00:00,"0,0,100,0.53,0.2,NaN,0,1,0,1,4"
2025-10-01T06:30:00.000-00:00,"1,1.43,100,3.35,0.05,NaN,0,1,1,3,3"
2025-10-01T07:30:00.000-00:00,"1,0.85,100,1.87,0.02,NaN,0,1,1,11,0"
2025-10-01T07:30:00.000-00:00,"1,0.56,100,2.08,0,NaN,0,1,1,12,0"
2025-10-01T09:45:00.000-00:00,"1,0.83,100,2.77,0.31,NaN,0,1,0,21,1"
2025-10-01T11:15:00.000-00:00,"0,0.04,100,0.48,1.57,NaN,0,2,0,3,1"
2025-10-01T12:00:00.000-00:00,"1,0.13,100,0.85,0.15,NaN,0,2,1,2,0"
2025-10-01T12:15:00.000-00:00,"0,0.71,100,2.1,0.23,NaN,0,2,0,6,3"
2025-10-01T12:15:00.000-00:00,"0,0.09,100,0.18,2.89,NaN,0,2,1,10,0"
2025-10-01T19:45:00.000-00:00,"1,0.32,100,0.84,0.07,NaN,0,3,0,1,4"
2025-10-02T06:30:00.000-00:00,"1,0.32,100,2.42,0.57,NaN,0,1,1,1,0"
2025-10-02T06:30:00.000-00:00,"1,0.07,100,0.31,0.56,NaN,0,1,1,2,0"
2025-10-02T16:00:00.000-00:00,"0,0.25,100,0.62,1.1,NaN,0,3,0,2,0"
2025-10-02T19:30:00.000-00:00,"1,0.06,100,1.74,0.55,NaN,0,3,0,1,0"
2025-10-02T21:30:00.000-00:00,"0,0.04,100,0.17,5.67,NaN,0,1,0,1,1"
2025-10-03T00:30:00.000-00:00,"1,0.34,100,1.81,0.38,-109.97,0,1,0,1,2"
2025-10-03T07:30:00.000-00:00,"0,0.16,100,0.58,2.76,NaN,0,3,0,20,50"
2025-10-03T12:30:00.000-00:00,"1,0.16,100,1.24,0.9,-37.62,0,2,1,19,0"
2025-10-06T04:00:00.000-00:00,"1,0.28,100,0.83,0.03,-55.05,0,1,0,6,1"
2025-10-06T12:30:00.000-00:00,"0,0.18,100,0.29,0.09,-606.08,0,2,0,1,17"
2025-10-06T13:45:00.000-00:00,"1,0.33,100,3.23,0.11,-300.84,0,4,1,2,1"
2025-10-06T15:45:00.000-00:00,"1,0.57,100,1.43,0.16,-46.11,0,3,0,1,2"
