Date,Message
2025-10-01T05:45:00.000-00:00,"1,0.76,100,2.48,0.32,NaN,0,1,0,2,1"
2025-10-01T12:00:00.000-00:00,"1,0.02,100,0.3,2.88,NaN,0,2,1,3,0"
2025-10-01T12:15:00.000-00:00,"1,0.18,100,1.85,0.02,NaN,0,2,1,1,2"
2025-10-01T23:45:00.000-00:00,"1,0.11,100,0.54,0,NaN,0,1,0,1,0"
2025-10-02T01:00:00.000-00:00,"0,0.08,100,0.42,2.92,NaN,0,1,1,3,0"
2025-10-02T07:45:00.000-00:00,"1,0.2,100,1.65,0.13,NaN,0,2,1,1,1"
2025-10-02T12:15:00.000-00:00,"0,0.34,100,1.76,0.08,NaN,0,2,0,5,1"
2025-10-02T12:45:00.000-00:00,"0,0.75,100,3.14,0.15,NaN,0,2,1,7,2"
2025-10-02T14:30:00.000-00:00,"0,0.21,100,0.39,0.76,NaN,0,3,0,1,0"
2025-10-02T16:00:00.000-00:00,"0,0.26,100,0.67,0.26,NaN,0,3,0,2,6"
2025-10-02T19:00:00.000-00:00,"1,0.34,100,0.79,0.4,NaN,0,3,1,1,15"
2025-10-02T20:00:00.000-00:00,"0,0.15,100,1.21,0.11,NaN,0,3,1,1,0"
2025-10-03T01:45:00.000-00:00,"0,0.51,100,4.48,0.01,-17.92,0,1,0,1,0"
2025-10-03T04:45:00.000-00:00,"1,0.62,100,2.31,0.13,22.38,1,1,0,1,2"
2025-10-03T06:30:00.000-00:00,"0,0.32,100,1.17,0.39,-49.77,0,1,1,5,0"
2025-10-03T07:30:00.000-00:00,"0,0.79,100,1.91,0.02,NaN,0,4,0,15,58"
2025-10-03T08:30:00.000-00:00,"1,0.07,100,0.66,0.14,222.51,1,2,1,1,0"
2025-10-03T10:30:00.000-00:00,"1,0.74,100,2.27,0.57,60.68,1,2,1,6,5"
2025-10-03T11:45:00.000-00:00,"1,0.3,100,1.45,0,198.97,1,2,0,2,13"
2025-10-03T20:45:00.000-00:00,"1,0.06,100,1.76,0,250.11,1,3,1,7,0"
2025-10-06T16:00:00.000-00:00,"1,0.18,100,0.94,0.29,240.31,1,3,0,5,3"
2025-10-06T17:00:00.000-00:00,"0,0.54,100,1.95,0.06,258.71,1,3,0,2,4"
2025-10-06T21:30:00.000-00:00,"1,0.57,100,3.83,0.06,280.02,1,3,0,14,3"
2025-10-06T22:00:00.000-00:00,"0,0.13,100,1.23,0.07,195.28,1,1,0,1,0"
2025-10-07T00:45:00.000-00:00,"1,0.66,100,3.31,0.2,218.4,1,1,1,1,3"
2025-10-07T06:00:00.000-00:00,"0,0.14,100,0.82,0.16,-25.25,0,1,1,1,1"
2025-10-07T13:15:00.000-00:00,"0,1.21,100,2.43,0.07,-581.92,0,2,0,5,2"
2025-10-07T15:00:00.000-00:00,"0,0.3,100,0.93,0.27,-486.89,0,2,0,8,7"
2025-10-07T16:00:00.000-00:00,"0,1.7,100,4.1,0.11,-359.33,0,2,0,16,4"
2025-10-07T19:15:00.000-00:00,"1,0.2,100,1.04,1.77,-325.06,0,3,0,13,3"
2025-10-08T02:15:00.000-00:00,"0,0.01,100,0.95,0.71,-443.93,0,1,1,1,0"
2025-10-08T15:00:00.000-00:00,"1,0.76,100,3.86,0.28,-57.99,0,3,0,2,1"
2025-10-08T16:45:00.000-00:00,"0,0.32,100,0.83,0,-550.87,0,3,0,1,1"
2025-10-09T01:00:00.000-00:00,"1,0.46,100,1.95,0.09,-301.37,0,3,1,1,19"
