Date,Message
2025-10-01T08:45:00.000-00:00,"1,0.18,100,0.61,0.19,NaN,0,2,1,2,1"
2025-10-02T00:45:00.000-00:00,"1,0.22,100,0.78,0.73,NaN,0,2,0,36,20"
2025-10-02T08:30:00.000-00:00,"1,0.1,100,1.39,0.84,NaN,0,1,1,6,1"
2025-10-02T12:15:00.000-00:00,"0,0.55,100,3.18,0.01,NaN,0,2,0,5,0"
2025-10-02T12:15:00.000-00:00,"0,0.13,100,0.74,0.81,NaN,0,2,1,6,0"
2025-10-02T15:00:00.000-00:00,"0,0.34,100,0.87,0.42,NaN,0,3,0,2,1"
2025-10-02T15:45:00.000-00:00,"1,0.22,100,3.6,0.14,NaN,0,3,1,1,1"
2025-10-03T07:45:00.000-00:00,"0,0.24,100,1.91,0.18,NaN,0,3,0,2,48"
2025-10-03T13:00:00.000-00:00,"0,0.2,100,0.5,0.67,-168.57,0,2,0,1,4"
2025-10-03T14:30:00.000-00:00,"1,0.24,100,1.74,0.41,-134,0,4,1,5,0"
2025-10-06T07:30:00.000-00:00,"1,0.56,100,1.91,0.14,62.43,1,2,1,1,0"
2025-10-06T14:15:00.000-00:00,"1,0.72,100,2.09,0.21,-1.17,0,4,1,1,1"
2025-10-07T03:30:00.000-00:00,"1,0.1,100,1.91,0.57,14.14,1,1,0,1,1"
2025-10-07T04:15:00.000-00:00,"0,0.14,100,0.82,2,7.49,1,1,0,1,1"
2025-10-07T14:45:00.000-00:00,"0,0.88,100,2.44,0.04,-69.36,0,2,0,10,5"
2025-10-07T17:15:00.000-00:00,"0,0.55,100,1.01,0.02,-21.09,0,2,0,16,10"
2025-10-08T14:45:00.000-00:00,"1,0.43,100,1.79,0.02,260.39,1,4,0,4,0"
2025-10-08T14:45:00.000-00:00,"1,0.42,100,1.76,0.5,201.4,1,4,1,5,0"
2025-10-08T17:45:00.000-00:00,"1,0.18,100,0.97,0.11,170.31,1,4,0,8,10"
2025-10-09T06:00:00.000-00:00,"0,0.79,100,3.37,0.09,255.29,1,3,1,23,37"
2025-10-09T14:30:00.000-00:00,"1,0.17,100,0.86,0.19,76.8,1,4,0,1,5"
2025-10-09T14:30:00.000-00:00,"1,0.52,100,1.3,0.46,20.37,1,4,0,7,0"
2025-10-10T06:30:00.000-00:00,"1,0.96,100,2.44,0.09,-44.22,0,4,0,9,63"
2025-10-10T07:45:00.000-00:00,"0,0.13,100,2.12,1.02,-123.04,0,2,1,3,0"
2025-10-10T09:45:00.000-00:00,"1,1.15,100,2.09,0.08,-146.11,0,2,0,1,6"
2025-10-10T15:00:00.000-00:00,"1,0.18,100,1.69,0.76,-203.51,0,3,1,2,0"
2025-10-13T07:00:00.000-00:00,"0,0.13,100,4.22,0.26,-141.83,0,1,1,1,2"
2025-10-13T10:30:00.000-00:00,"1,0.3,100,2.57,0.12,-1.5,0,2,1,1,5"
2025-10-14T03:30:00.000-00:00,"1,0.31,100,2.39,0.31,131.42,1,1,0,1,11"
2025-10-14T04:00:00.000-00:00,"1,0.78,100,3.65,0.4,95.98,1,1,0,13,2"
2025-10-14T10:15:00.000-00:00,"0,0.04,100,0.71,1.3,-401.2,0,1,1,11,4"
2025-10-14T10:45:00.000-00:00,"0,0.21,100,1.99,0.02,-462.12,0,2,0,1,0"
2025-10-14T12:30:00.000-00:00,"1,0.53,100,1.38,0.7,-398.38,0,2,0,3,2"
2025-10-15T01:00:00.000-00:00,"1,0.04,100,1.03,0.17,-174.43,0,1,1,5,0"
2025-10-15T04:30:00.000-00:00,"1,0.55,100,3.45,0.3,-104.92,0,1,0,6,3"
2025-10-15T07:15:00.000-00:00,"1,0.38,100,1.39,0.09,-192.01,0,1,1,31,0"
2025-10-15T12:45:00.000-00:00,"1,0.2,100,2.69,0.34,-84.49,0,2,1,11,1"
2025-10-15T13:15:00.000-00:00,"1,0.23,100,1.07,0.36,-110.13,0,2,1,15,0"
2025-10-16T05:00:00.000-00:00,"0,0.34,100,1.65,0.63,-110.26,0,1,0,5,9"
2025-10-16T06:00:00.000-00:00,"1,0.23,100,1.45,0.28,-50.71,0,1,1,2,0"
2025-10-16T13:00:00.000-00:00,"0,0.01,100,1.27,0.02,281.36,1,4,0,1,1"
2025-10-16T17:00:00.000-00:00,"0,0.01,100,0.34,3.6,-172.01,0,3,1,1,0"
2025-10-16T22:15:00.000-00:00,"0,0.53,100,2.66,0.09,-258.73,0,3,1,12,4"
2025-10-17T03:30:00.000-00:00,"0,0.02,100,1.94,0.32,-428.58,0,1,1,1,2"
2025-10-17T06:00:00.000-00:00,"1,0.23,100,0.65,0.4,-396.51,0,1,0,1,5"
2025-10-17T10:45:00.000-00:00,"0,1.02,100,3.14,0.83,-586.27,0,2,0,3,11"
2025-10-17T13:30:00.000-00:00,"1,1.39,100,8.68,0.06,-345.9,0,2,0,7,2"
2025-10-17T14:45:00.000-00:00,"0,0.21,100,0.86,0.52,-269.04,0,4,1,7,0"
2025-10-17T17:00:00.000-00:00,"1,0.21,100,1.96,0.08,-276.89,0,3,1,4,0"
2025-10-19T21:30:00.000-00:00,"1,0.02,100,0.38,2.36,-55.5,0,3,1,10,2"
2025-10-19T22:00:00.000-00:00,"0,0.6,100,1.14,0.81,-33.54,0,1,0,2,2"
2025-10-19T22:00:00.000-00:00,"1,0.92,100,4.61,0.11,-106.93,0,3,1,11,4"
2025-10-20T01:45:00.000-00:00,"0,0.06,100,0.71,0.2,91,1,1,1,7,2"
2025-10-20T11:30:00.000-00:00,"0,0.36,100,1.45,0.28,-144.62,0,2,1,2,0"
2025-10-20T13:15:00.000-00:00,"0,0.2,100,0.48,0.37,-120.22,0,2,1,8,2"
2025-10-20T16:00:00.000-00:00,"1,0.12,100,0.25,1.33,-204.61,0,3,0,1,0"
2025-10-21T01:15:00.000-00:00,"1,0.2,100,1.7,0.18,-196.84,0,1,1,1,0"
2025-10-21T17:45:00.000-00:00,"0,0.16,100,0.61,1.19,82.06,1,3,1,2,0"
2025-10-21T23:45:00.000-00:00,"1,0.02,100,0.13,3.67,103.44,1,1,1,5,0"
