Date,Message
2025-10-01T04:45:00.000-00:00,"0,0.37,100,1.09,0.29,NaN,0,1,1,9,3"
2025-10-01T06:30:00.000-00:00,"0,0.38,100,1.28,0.12,NaN,0,1,1,1,0"
2025-10-01T08:15:00.000-00:00,"0,0.45,100,1.17,0.56,NaN,0,2,1,1,3"
2025-10-02T00:00:00.000-00:00,"1,0.53,100,2.27,0,NaN,0,1,1,1,1"
2025-10-02T03:45:00.000-00:00,"1,0.72,100,1.39,0.49,NaN,0,1,0,2,2"
2025-10-02T13:00:00.000-00:00,"1,0.03,100,0.33,1.82,NaN,0,4,0,1,0"
2025-10-02T13:30:00.000-00:00,"1,0.86,100,2.21,0.11,NaN,0,4,0,2,2"
2025-10-02T14:45:00.000-00:00,"0,0.07,100,0.93,0.4,NaN,0,3,0,1,0"
2025-10-02T15:00:00.000-00:00,"0,0.06,100,1.03,0.33,NaN,0,3,1,4,0"
2025-10-02T16:30:00.000-00:00,"0,0.36,100,1.08,0.02,NaN,0,3,0,2,7"
2025-10-03T11:30:00.000-00:00,"0,0.04,100,0.81,0.41,-24.47,0,2,1,2,7"
2025-10-03T13:45:00.000-00:00,"0,0.02,100,1.99,0.14,19.78,1,2,0,18,1"
2025-10-03T18:00:00.000-00:00,"1,0.09,100,0.42,1.17,426.58,1,3,0,2,4"
2025-10-06T00:15:00.000-00:00,"1,0.61,100,1.93,0.14,2156.85,1,1,1,1,1"
2025-10-06T06:00:00.000-00:00,"1,0.42,100,5.29,0.3,2834.05,1,1,0,4,1"
2025-10-06T19:30:00.000-00:00,"1,0.11,100,1.67,0.4,2174.68,1,3,1,1,1"
2025-10-06T21:15:00.000-00:00,"1,0.03,100,4.14,0,2181.63,1,3,0,1,1"
2025-10-06T22:15:00.000-00:00,"0,1.11,100,2.79,0.01,2015.66,1,1,0,2,1"
2025-10-07T19:30:00.000-00:00,"0,0.05,100,1.15,0.32,1949.48,1,3,1,1,0"
2025-10-08T14:00:00.000-00:00,"1,0.37,100,1.03,0.25,1858.86,1,2,1,9,11"
2025-10-08T14:45:00.000-00:00,"1,0.21,100,3.66,0.35,1644.48,1,3,0,1,1"
2025-10-08T16:45:00.000-00:00,"0,0.49,100,0.87,0.02,1069.5,1,3,0,1,1"
2025-10-08T16:45:00.000-00:00,"1,0.22,100,1.45,0.22,1538.03,1,2,1,36,1"
2025-10-08T18:00:00.000-00:00,"1,0.08,100,0.95,0.19,1042.25,1,3,1,4,0"
2025-10-08T20:45:00.000-00:00,"1,0.16,100,0.49,0.45,1078.79,1,3,1,1,2"
2025-10-09T01:30:00.000-00:00,"0,0.21,100,2.58,0.27,1494.03,1,3,1,40,2"
2025-10-10T02:00:00.000-00:00,"0,0.05,100,1.26,0.35,-367.56,0,1,0,1,2"
2025-10-10T04:30:00.000-00:00,"0,0.42,100,1.59,0.32,-517.35,0,1,0,2,0"
2025-10-10T05:00:00.000-00:00,"1,0.03,100,1.15,0.09,-517.39,0,1,1,1,0"
2025-10-10T14:30:00.000-00:00,"0,0.75,100,5.13,0.01,-858.36,0,2,0,13,1"
2025-10-10T17:00:00.000-00:00,"1,0.42,100,0.76,0.75,-680.21,0,3,0,2,1"
2025-10-10T19:30:00.000-00:00,"0,0.41,100,0.79,0.88,-785.74,0,3,1,1,8"
2025-10-13T21:00:00.000-00:00,"1,0.02,100,2.25,0.35,-33.78,0,3,0,2,8"
2025-10-14T12:30:00.000-00:00,"0,0.74,100,2.05,0.26,-1104.23,0,1,1,10,14"
2025-10-14T13:30:00.000-00:00,"1,0.88,100,1.83,0.15,-994.28,0,4,1,1,0"
2025-10-15T00:00:00.000-00:00,"0,0.32,100,3.76,0.38,-399.38,0,3,1,1,16"
2025-10-15T01:15:00.000-00:00,"0,1.44,100,3.76,0.2,-805.5,0,1,1,44,32"
2025-10-15T06:00:00.000-00:00,"1,0.02,100,1.11,1.1,-693.31,0,1,1,9,0"
2025-10-15T10:00:00.000-00:00,"1,0.03,100,1.08,1,-273.89,0,2,1,1,0"
2025-10-15T20:30:00.000-00:00,"1,0.13,100,2.18,0.45,254.39,1,3,0,1,0"
2025-10-16T10:30:00.000-00:00,"1,0.41,100,0.73,0.38,825.09,1,2,0,1,4"
2025-10-16T11:45:00.000-00:00,"0,0.01,100,1.43,0.24,624.61,1,2,0,1,2"
2025-10-16T17:15:00.000-00:00,"0,0.6,100,1.41,0.51,-529.9,0,3,0,1,1"
2025-10-17T00:00:00.000-00:00,"0,0.03,100,0.11,3.4,-509.85,0,1,1,3,0"
2025-10-17T00:15:00.000-00:00,"0,0.55,100,2.09,0.24,-566.23,0,1,0,1,2"
2025-10-17T00:45:00.000-00:00,"0,0.1,100,2.01,0,-460.04,0,1,1,6,1"
2025-10-17T06:30:00.000-00:00,"0,0.04,100,2.05,0.36,-494.23,0,1,1,1,15"
2025-10-17T10:45:00.000-00:00,"0,1.25,100,2.84,0.3,-1032.33,0,2,0,2,12"
2025-10-17T11:00:00.000-00:00,"0,0.9,100,2.81,0.05,-799.24,0,2,0,15,1"
2025-10-17T13:30:00.000-00:00,"0,0.16,100,1.34,0.57,-317.84,0,4,1,2,0"
2025-10-17T15:15:00.000-00:00,"1,1.07,100,4.55,0.03,-472.82,0,2,0,8,8"
2025-10-17T18:30:00.000-00:00,"1,0.41,100,0.61,0.06,-174.63,0,3,1,1,8"
2025-10-19T21:15:00.000-00:00,"1,0.24,100,2.16,0.31,134.02,1,3,0,1,9"
2025-10-19T22:00:00.000-00:00,"1,0.28,100,1.49,0.86,14.21,1,3,1,12,2"
2025-10-20T03:15:00.000-00:00,"1,1.18,100,4.05,0.01,763.68,1,1,0,1,7"
2025-10-20T07:15:00.000-00:00,"0,0.12,100,1.15,0.13,84.47,1,1,0,1,2"
2025-10-21T04:30:00.000-00:00,"1,0.68,100,1.28,0.2,89.91,1,1,1,7,3"
2025-10-21T13:15:00.000-00:00,"1,0.08,100,0.4,2,802.5,1,2,1,14,0"
2025-10-21T13:45:00.000-00:00,"1,0.04,100,0.3,0.23,788.67,1,2,0,15,2"
2025-10-21T14:45:00.000-00:00,"0,0.5,100,1.35,0.03,452.04,1,3,0,1,2"
2025-10-21T14:45:00.000-00:00,"1,0.86,100,1.87,0.14,447.93,1,2,1,21,3"
2025-10-21T23:45:00.000-00:00,"1,0.02,100,1.16,0.38,463.74,1,1,0,2,1"
2025-10-22T03:45:00.000-00:00,"0,1.48,100,4.39,0.07,267.97,1,1,0,7,7"
2025-10-22T04:00:00.000-00:00,"0,0.89,100,4.29,0.21,397.32,1,1,0,15,1"
2025-10-22T12:00:00.000-00:00,"0,0.83,100,1.28,0.32,-224.63,0,1,1,21,0"
2025-10-22T13:45:00.000-00:00,"0,0.71,100,1.25,0,-123.21,0,1,0,27,2"
2025-10-22T21:15:00.000-00:00,"1,0.33,100,0.77,0.54,305.6,1,3,0,4,3"
2025-10-23T06:00:00.000-00:00,"1,0.7,100,1.75,0.22,539.82,1,1,1,1,17"
2025-10-23T07:15:00.000-00:00,"1,0.29,100,2.03,0.01,823.81,1,2,0,1,0"
2025-10-23T07:15:00.000-00:00,"1,0.54,100,0.95,0.9,721.94,1,1,1,2,0"
2025-10-23T07:15:00.000-00:00,"1,0.72,100,1.23,0.11,658.27,1,1,1,3,0"
2025-10-23T14:45:00.000-00:00,"1,0.51,100,1.13,0.19,598.45,1,1,0,34,0"
2025-10-24T02:30:00.000-00:00,"1,0.34,100,1.51,0.16,359.15,1,1,1,5,0"
2025-10-24T06:00:00.000-00:00,"1,0.78,100,1.55,0.45,441.38,1,1,1,4,14"
2025-10-24T12:15:00.000-00:00,"0,0.43,100,2.27,0.05,235.97,1,2,1,2,0"
2025-10-24T14:00:00.000-00:00,"1,0.82,100,2.88,0.01,467.66,1,4,0,1,2"
2025-10-24T18:15:00.000-00:00,"0,0.32,100,1.28,0.61,-51.44,0,3,0,2,11"
2025-10-24T20:45:00.000-00:00,"0,0.34,100,1,0.09,47.52,1,3,0,19,5"
2025-10-26T21:30:00.000-00:00,"0,0.74,100,1.77,0.09,165.28,1,3,0,25,3"
2025-10-27T06:30:00.000-00:00,"1,0.77,100,2.06,0.18,467.81,1,1,0,2,3"
2025-10-27T06:30:00.000-00:00,"1,0.09,100,1.48,0.08,430.03,1,1,0,5,1"
2025-10-27T10:00:00.000-00:00,"1,1.62,100,1.91,0.77,214.79,1,1,1,41,11"
2025-10-27T11:00:00.000-00:00,"1,0.12,100,1.19,0.18,317.5,1,2,0,1,2"
2025-10-27T15:00:00.000-00:00,"1,0.02,100,0.87,0.7,386.84,1,4,0,8,0"
2025-10-27T22:00:00.000-00:00,"0,0.36,100,1.39,0.3,249.52,1,3,1,5,8"
2025-10-28T01:00:00.000-00:00,"0,0.4,100,3.31,0.2,-41.46,0,1,1,2,1"
2025-10-28T07:30:00.000-00:00,"0,0.33,100,1.35,0.28,-520.63,0,1,1,6,4"
2025-10-28T13:45:00.000-00:00,"0,1.36,100,3.04,0.07,-1185.32,0,2,1,3,17"
2025-10-28T15:45:00.000-00:00,"0,0.69,100,1.01,0.28,-1344.71,0,4,1,8,0"
2025-10-28T20:00:00.000-00:00,"0,0.09,100,1.45,0.23,-1145.67,0,3,1,1,0"
