Date,Message
2025-10-01T09:00:00.000-00:00,"0,1.8,100,8.89,0.27,NaN,0,2,0,6,2"
2025-10-01T09:15:00.000-00:00,"0,0.94,100,3.98,0,NaN,0,1,0,9,1"
2025-10-01T13:30:00.000-00:00,"1,0.13,100,0.83,0.03,NaN,0,2,1,3,5"
2025-10-02T07:00:00.000-00:00,"1,0.16,100,0.9,0.17,NaN,0,1,1,1,24"
2025-10-02T13:00:00.000-00:00,"1,0.15,100,0.95,0.26,NaN,0,4,1,1,2"
2025-10-03T06:30:00.000-00:00,"1,0.54,100,3.2,0.55,1770.13,1,1,1,8,2"
2025-10-03T18:15:00.000-00:00,"0,0.31,100,1.36,1.42,-590.08,0,3,0,1,0"
2025-10-06T05:00:00.000-00:00,"1,0.02,100,2.59,0.07,484.4,1,1,0,1,0"
2025-10-06T11:15:00.000-00:00,"1,0.07,100,5.07,0.44,800.89,1,2,1,1,0"
2025-10-06T13:30:00.000-00:00,"1,1.06,100,2.82,0.27,1287.27,1,4,0,1,4"
2025-10-06T13:30:00.000-00:00,"1,0.48,100,1.52,0.17,1051.1,1,4,1,6,0"
2025-10-06T19:45:00.000-00:00,"1,0.03,100,2.66,0.28,973.51,1,3,1,15,0"
2025-10-06T22:45:00.000-00:00,"0,0.72,100,4.24,0.09,913.25,1,3,1,8,3"
2025-10-07T04:00:00.000-00:00,"0,0.52,100,2.25,0.44,360.5,1,1,0,1,19"
2025-10-07T07:00:00.000-00:00,"0,0.33,100,3.38,0.2,381.06,1,1,1,1,1"
2025-10-07T11:45:00.000-00:00,"1,0.33,100,1.08,0.14,486.59,1,2,1,3,7"
2025-10-07T14:15:00.000-00:00,"1,0.51,100,1.9,0.19,984.96,1,4,0,1,4"
2025-10-08T00:45:00.000-00:00,"0,0.41,100,1.39,0.55,-618.89,0,1,0,4,1"
2025-10-08T05:45:00.000-00:00,"1,0.21,100,1.47,0.9,-389.42,0,1,0,15,3"
2025-10-08T08:45:00.000-00:00,"1,0.03,100,0.71,0.38,-266.31,0,2,1,4,0"
2025-10-09T00:00:00.000-00:00,"1,0.44,100,2.22,0.36,2176.58,1,1,0,1,1"
2025-10-09T06:45:00.000-00:00,"1,0.02,100,2.8,0.25,1502.82,1,1,0,1,4"
2025-10-10T06:00:00.000-00:00,"0,0.05,100,0.95,1.54,888.73,1,1,0,11,0"
2025-10-10T06:30:00.000-00:00,"1,0.21,100,1.96,0.29,692.85,1,1,1,3,0"
2025-10-10T11:30:00.000-00:00,"1,0.2,100,0.55,0.59,385.34,1,2,1,1,0"
2025-10-13T08:00:00.000-00:00,"1,0.39,100,1.48,0.1,-1216.81,0,2,0,1,1"
2025-10-13T11:00:00.000-00:00,"1,0.04,100,0.72,2.35,-3539.38,0,1,1,45,0"
2025-10-14T03:00:00.000-00:00,"1,1.51,100,3.47,0.01,170.78,1,1,0,2,8"
2025-10-14T11:00:00.000-00:00,"0,0.33,100,2.22,0.13,-3242.86,0,2,0,1,0"
2025-10-14T11:30:00.000-00:00,"0,0.46,100,3.53,0.04,-3044.3,0,2,0,2,2"
2025-10-14T11:45:00.000-00:00,"0,0.13,100,1.22,1.42,-2714.32,0,2,0,4,2"
2025-10-14T12:00:00.000-00:00,"1,0.07,100,0.56,1.05,-2768.32,0,2,1,2,0"
2025-10-14T16:00:00.000-00:00,"0,0.79,100,2.28,0.28,-1333.22,0,1,1,45,1"
2025-10-14T17:15:00.000-00:00,"1,0.17,100,1.05,0.14,333.77,1,3,1,1,1"
2025-10-15T07:00:00.000-00:00,"1,1.48,100,4.96,0.08,356.94,1,1,1,4,3"
2025-10-15T15:30:00.000-00:00,"1,1.19,100,1.87,0.5,1762.75,1,3,0,4,1"
2025-10-15T17:45:00.000-00:00,"0,1.48,100,9.1,0.01,-367.19,0,3,0,2,0"
2025-10-15T19:45:00.000-00:00,"1,0.27,100,0.84,0.15,-277.55,0,3,1,7,0"
2025-10-16T00:00:00.000-00:00,"1,0.65,100,4.67,0.14,619.8,1,1,0,2,5"
2025-10-16T07:00:00.000-00:00,"1,0.25,100,0.53,0.69,1014.1,1,1,1,1,0"
2025-10-16T10:00:00.000-00:00,"1,0.24,100,0.95,0.11,915.68,1,1,1,2,12"
2025-10-16T22:30:00.000-00:00,"1,0.1,100,3.37,1.16,-1180.87,0,1,1,1,0"
2025-10-16T22:30:00.000-00:00,"1,0.03,100,0.31,0.37,-1230.52,0,1,1,2,0"
2025-10-17T11:00:00.000-00:00,"0,0.28,100,1.12,0.75,-2323.67,0,1,0,17,0"
2025-10-17T11:00:00.000-00:00,"0,0.49,100,6.45,0.04,-1764.49,0,1,1,23,0"
2025-10-17T18:15:00.000-00:00,"1,0.31,100,1.74,0.21,844.37,1,3,1,2,6"
2025-10-17T19:00:00.000-00:00,"1,0.03,100,1.49,0.31,1667.45,1,3,1,1,1"
2025-10-20T00:45:00.000-00:00,"0,0.52,100,2.74,0.14,1802.6,1,1,0,5,0"
2025-10-20T03:45:00.000-00:00,"1,0.56,100,1.56,0.28,1792.27,1,1,1,3,8"
2025-10-20T10:15:00.000-00:00,"1,0.62,100,3.04,0.25,2087.15,1,1,0,18,7"
2025-10-20T13:30:00.000-00:00,"1,0.95,100,2.62,0.05,1744.49,1,4,1,2,0"
2025-10-21T01:15:00.000-00:00,"1,0.25,100,0.37,0.64,3252.74,1,3,1,2,40"
2025-10-21T16:45:00.000-00:00,"0,0.24,100,1.1,1.19,2206.26,1,1,1,48,3"
2025-10-22T03:15:00.000-00:00,"1,0.16,100,0.71,0.43,610.91,1,1,0,2,2"
2025-10-22T07:00:00.000-00:00,"1,1.27,100,2.08,0.47,909.03,1,1,0,4,7"
2025-10-22T18:15:00.000-00:00,"0,0.02,100,0.64,1.53,-2743.49,0,3,1,3,0"
2025-10-22T18:30:00.000-00:00,"0,0.01,100,2.49,0.11,-3251.76,0,3,0,1,2"
2025-10-23T00:45:00.000-00:00,"0,0.5,100,3.92,0.1,-1387.8,0,1,0,1,2"
2025-10-23T04:30:00.000-00:00,"1,0.13,100,1.42,0.49,-653.62,0,1,0,7,4"
2025-10-23T05:45:00.000-00:00,"1,0.03,100,0.47,1.36,-799.57,0,1,1,11,6"
2025-10-23T06:00:00.000-00:00,"1,0.2,100,0.83,0.29,-907.63,0,1,1,16,3"
2025-10-23T12:45:00.000-00:00,"0,0.33,100,0.71,0.77,-1416.32,0,4,0,3,0"
2025-10-23T14:15:00.000-00:00,"1,0.29,100,1.76,0.3,-178.02,0,3,1,1,0"
2025-10-23T22:30:00.000-00:00,"1,0.11,100,1.18,0.33,1438.05,1,1,1,1,2"
2025-10-24T07:45:00.000-00:00,"1,1.36,100,3.79,0.19,1638.56,1,1,0,1,5"
2025-10-26T22:00:00.000-00:00,"0,0.55,100,3.69,0.31,2204.77,1,3,0,4,0"
2025-10-27T05:00:00.000-00:00,"1,0.36,100,1.08,0,3586.4,1,1,1,3,4"
2025-10-27T11:30:00.000-00:00,"1,0.11,100,0.94,0,3383.13,1,2,0,6,0"
2025-10-27T22:00:00.000-00:00,"1,0.12,100,0.5,0.2,3671.15,1,3,0,1,4"
2025-10-28T11:15:00.000-00:00,"0,0.24,100,0.82,1.95,3151.44,1,1,1,44,0"
2025-10-28T12:00:00.000-00:00,"1,0.84,100,3.65,0.76,3328.97,1,3,1,36,28"
2025-10-29T01:45:00.000-00:00,"1,0.14,100,0.9,0.5,2586.24,1,1,1,1,0"
2025-10-30T02:00:00.000-00:00,"1,0.15,100,0.63,0.65,1621.36,1,1,1,1,5"
2025-10-30T04:00:00.000-00:00,"1,0.49,100,1.42,0.09,1407.68,1,1,1,15,0"
2025-10-30T12:00:00.000-00:00,"1,0.31,100,3.58,0.13,815.26,1,2,0,2,0"
2025-10-30T13:45:00.000-00:00,"0,0.41,100,1.34,0.17,-268.75,0,4,1,4,0"
2025-10-31T02:00:00.000-00:00,"1,0.21,100,0.2,0.14,89.89,1,1,1,1,19"
2025-10-31T08:00:00.000-00:00,"1,1.04,100,2.84,0.17,435.54,1,2,0,1,0"
2025-10-31T11:45:00.000-00:00,"0,0.64,100,1.7,0.12,162.22,1,4,0,47,46"
2025-10-31T12:45:00.000-00:00,"1,0.3,100,2.23,0.1,825.07,1,4,0,1,1"
2025-10-31T18:00:00.000-00:00,"0,0.05,100,1.01,0.38,-2126.76,0,3,0,1,2"
2025-10-31T19:15:00.000-00:00,"0,0.57,100,1.85,0.54,-1134.04,0,3,0,11,1"
2025-10-31T19:45:00.000-00:00,"1,0.71,100,3.12,0.17,-720.01,0,3,0,1,0"
2025-11-03T10:45:00.000-00:00,"1,0.58,100,1.47,0.03,227.57,1,2,1,1,4"
2025-11-03T14:30:00.000-00:00,"1,0.58,100,1.97,1.87,839.69,1,3,1,1,0"
2025-11-03T14:30:00.000-00:00,"1,0.26,100,1.32,0.35,701.17,1,3,1,2,0"
2025-11-03T15:15:00.000-00:00,"1,0.82,100,2.71,0.02,25.59,1,2,0,23,1"
2025-11-03T15:15:00.000-00:00,"1,0.09,100,0.33,2.37,-245.24,0,2,1,25,0"
2025-11-03T15:15:00.000-00:00,"1,0.23,100,1.08,0.02,-329.16,0,2,1,26,0"
2025-11-03T15:15:00.000-00:00,"1,0.12,100,0.94,0.35,-490.16,0,2,1,27,0"
2025-11-03T19:30:00.000-00:00,"0,0.02,100,1.05,0.55,382.61,1,3,1,11,7"
2025-11-03T20:30:00.000-00:00,"0,0.11,100,1.07,0.53,96.95,1,3,1,2,3"
2025-11-04T02:30:00.000-00:00,"0,1.02,100,4.2,0.02,-783.12,0,1,1,3,5"
2025-11-04T03:30:00.000-00:00,"0,0.2,100,1.36,0.09,-1241.73,0,1,1,1,2"
2025-11-04T13:15:00.000-00:00,"1,0.81,100,1.97,0.04,-2813.68,0,2,0,5,5"
2025-11-04T14:45:00.000-00:00,"0,0.69,100,2.81,0.01,-2137.21,0,1,1,36,0"
2025-11-05T02:45:00.000-00:00,"0,0.51,100,2.69,0.04,-4985.55,0,1,0,1,4"
2025-11-05T02:45:00.000-00:00,"0,0.53,100,1.07,1.24,-4498.2,0,1,0,6,0"
2025-11-05T02:45:00.000-00:00,"0,0.06,100,0.4,0.22,-4388.64,0,1,1,7,0"
2025-11-05T03:00:00.000-00:00,"0,0.66,100,1.94,0.14,-4186.09,0,1,0,9,0"
2025-11-05T03:45:00.000-00:00,"0,0,100,2.9,0.07,-4054.47,0,1,0,10,3"
2025-11-05T03:45:00.000-00:00,"0,0.1,100,0.93,2.99,-3652.4,0,1,1,14,0"
2025-11-05T07:00:00.000-00:00,"1,0.15,100,1.3,0.45,-2540.63,0,1,0,2,0"
2025-11-05T10:45:00.000-00:00,"1,0.18,100,1.27,0.06,-3826.52,0,1,1,30,0"
2025-11-05T12:15:00.000-00:00,"0,1.02,100,6.22,0.03,-2636.52,0,2,0,1,4"
2025-11-05T20:30:00.000-00:00,"1,0.42,100,1.55,0.16,1326.23,1,3,0,1,6"
