Date,Message
2025-10-01T03:00:00.000-00:00,"0,0.05,100,1.31,0.08,NaN,0,1,1,3,2"
2025-10-01T03:00:00.000-00:00,"1,0,100,3.58,0.05,NaN,0,1,0,6,6"
2025-10-01T08:30:00.000-00:00,"0,0.2,100,0.65,0.35,NaN,0,2,1,1,0"
2025-10-01T16:00:00.000-00:00,"1,0.12,100,0.63,0.35,NaN,0,3,1,1,1"
2025-10-01T19:15:00.000-00:00,"0,0.05,100,1.9,0.04,NaN,0,3,0,2,1"
2025-10-01T21:30:00.000-00:00,"0,0.05,100,0.12,0.5,NaN,0,1,1,1,0"
2025-10-02T01:30:00.000-00:00,"1,1.2,100,8.44,0.11,NaN,0,1,0,2,3"
2025-10-02T05:00:00.000-00:00,"1,0.71,100,1.67,0.32,NaN,0,1,1,4,5"
2025-10-02T12:45:00.000-00:00,"0,0.13,100,1.09,0.33,NaN,0,2,0,17,1"
2025-10-02T16:45:00.000-00:00,"0,0.02,100,0.44,1.42,NaN,0,3,1,1,0"
2025-10-03T01:00:00.000-00:00,"1,1.46,100,5.17,0.4,-14.97,0,1,1,3,0"
2025-10-03T01:00:00.000-00:00,"0,0.46,100,1.65,0.05,NaN,0,3,0,31,4"
2025-10-03T04:30:00.000-00:00,"0,0.06,100,1.59,0.23,393.57,1,1,0,1,1"
2025-10-03T17:30:00.000-00:00,"1,0.21,100,1.46,0.43,115.26,1,3,0,2,2"
2025-10-05T22:00:00.000-00:00,"0,0.19,100,2.65,0.17,1851.03,1,1,1,1,0"
2025-10-05T23:15:00.000-00:00,"0,0.15,100,2.81,0.59,1935.6,1,1,1,5,2"
2025-10-06T00:15:00.000-00:00,"1,0.81,100,2.81,0.17,1899.41,1,1,1,1,1"
2025-10-06T06:15:00.000-00:00,"1,0.28,100,3.59,0.43,2190.02,1,1,0,5,1"
2025-10-06T18:30:00.000-00:00,"1,0.02,100,1.02,1.1,1301.82,1,3,1,1,1"
2025-10-06T19:45:00.000-00:00,"1,0.04,100,2.59,0.32,1305.61,1,3,1,1,2"
2025-10-06T22:30:00.000-00:00,"0,0.6,100,2.27,0.14,1218.14,1,1,0,2,2"
2025-10-07T04:30:00.000-00:00,"0,0.18,100,0.89,0.24,966.77,1,1,1,1,0"
2025-10-07T06:00:00.000-00:00,"1,0.16,100,1.59,0.64,1024.07,1,1,1,1,2"
