Date,Message
2025-10-01T01:00:00.000-00:00,"0,0,100,7.14,0.07,NaN,0,1,0,2,0"
2025-10-01T06:15:00.000-00:00,"0,0.24,100,1.56,0.09,NaN,0,1,0,1,0"
2025-10-01T10:00:00.000-00:00,"0,0.01,100,0.69,0.37,NaN,0,2,0,2,0"
2025-10-01T13:15:00.000-00:00,"0,1.86,100,4.46,0.41,NaN,0,2,1,7,11"
2025-10-01T17:30:00.000-00:00,"0,0.09,100,1.2,0.29,NaN,0,3,1,1,1"
2025-10-01T20:15:00.000-00:00,"1,0.21,100,1.71,0.5,NaN,0,3,0,5,0"
2025-10-02T00:00:00.000-00:00,"1,0.2,100,1.5,0.78,NaN,0,1,1,2,0"
2025-10-02T00:00:00.000-00:00,"0,0.44,100,3.12,0.44,NaN,0,3,0,7,3"
2025-10-02T03:00:00.000-00:00,"1,0.11,100,1.9,0.53,NaN,0,1,1,4,0"
2025-10-02T08:15:00.000-00:00,"0,0.45,100,1.2,1.16,NaN,0,1,1,8,0"
2025-10-02T17:15:00.000-00:00,"0,0.04,100,2.26,0.04,NaN,0,3,1,3,0"
2025-10-03T00:15:00.000-00:00,"1,0.27,100,2.93,0.85,NaN,0,3,0,2,10"
2025-10-03T13:30:00.000-00:00,"0,0.12,100,1.21,0.54,-546.4,0,2,1,14,0"
2025-10-06T07:30:00.000-00:00,"1,0.27,100,1.89,0.81,314.09,1,2,0,1,0"
2025-10-06T12:45:00.000-00:00,"1,0.21,100,0.56,0.42,-31.99,0,4,0,1,0"
2025-10-06T13:45:00.000-00:00,"0,0.73,100,2.73,0.06,291.11,1,2,1,11,0"
2025-10-06T15:15:00.000-00:00,"0,0.18,100,0.97,0.19,-27.89,0,3,0,1,0"
2025-10-07T04:30:00.000-00:00,"1,0.74,100,2.22,0.33,278.51,1,1,0,5,2"
2025-10-07T05:15:00.000-00:00,"0,0.52,100,2.64,0.34,172.84,1,1,1,1,0"
2025-10-07T05:30:00.000-00:00,"0,0.48,100,1.18,0.12,210.89,1,1,0,3,0"
2025-10-07T06:30:00.000-00:00,"1,0.48,100,1.28,0.66,272.68,1,1,1,1,1"
