Date,Message
2025-10-01T02:15:00.000-00:00,"1,0.26,100,1.27,0.01,NaN,0,1,1,1,0"
2025-10-01T02:15:00.000-00:00,"1,0.09,100,0.38,0.22,NaN,0,1,1,2,0"
2025-10-01T12:15:00.000-00:00,"1,1.33,100,1.56,0.13,NaN,0,2,0,5,11"
2025-10-01T12:45:00.000-00:00,"1,0.2,100,0.88,0.17,NaN,0,2,1,21,0"
2025-10-01T19:00:00.000-00:00,"0,0.44,100,1.76,0.06,NaN,0,3,0,1,3"
2025-10-02T14:15:00.000-00:00,"1,0.6,100,1.77,0.04,NaN,0,2,0,21,1"
2025-10-02T23:30:00.000-00:00,"1,0.42,100,2.16,1.15,NaN,0,3,1,2,11"
2025-10-03T01:30:00.000-00:00,"1,0.28,100,1.62,0.27,NaN,0,3,1,22,0"
2025-10-03T05:30:00.000-00:00,"0,0.41,100,1.87,0.03,-11993.1,0,1,0,10,1"
2025-10-03T06:00:00.000-00:00,"1,0.7,100,1.5,0.33,-10826.15,0,1,1,2,0"
2025-10-03T11:45:00.000-00:00,"0,0.21,100,1.99,0.36,-1458.85,0,2,1,1,0"
2025-10-03T12:30:00.000-00:00,"0,1.78,100,4.03,0.07,NaN,0,3,0,16,67"
2025-10-06T03:00:00.000-00:00,"1,0.28,100,1.01,0.18,44236.95,1,1,1,1,2"
2025-10-06T03:45:00.000-00:00,"1,0.44,100,4.51,1.1,35137.09,1,1,1,3,15"
2025-10-06T22:00:00.000-00:00,"1,0.04,100,3.78,0.72,51674.55,1,3,1,2,5"
2025-10-07T01:15:00.000-00:00,"1,1.24,100,7.78,0.14,52732.91,1,1,0,1,11"
2025-10-07T03:00:00.000-00:00,"0,0.27,100,0.89,0.44,45467.92,1,1,0,5,3"
2025-10-07T03:15:00.000-00:00,"1,0.36,100,2.05,0.19,41593.46,1,1,1,2,1"
2025-10-07T12:45:00.000-00:00,"1,0.03,100,0.31,2.17,32795.63,1,4,1,1,2"
2025-10-07T23:45:00.000-00:00,"1,0.33,100,2.4,0.34,39522.96,1,1,1,2,4"
2025-10-08T00:45:00.000-00:00,"1,0.03,100,1.64,0.32,44802.52,1,1,0,1,1"
2025-10-08T01:00:00.000-00:00,"1,0.11,100,0.08,28.18,37073.73,1,1,1,12,0"
2025-10-08T04:45:00.000-00:00,"1,0.2,100,2.13,0.37,57781.3,1,1,1,1,1"
2025-10-08T05:45:00.000-00:00,"1,0,100,1.03,0.37,67061.19,1,1,1,1,0"
2025-10-08T07:00:00.000-00:00,"1,0.32,100,0.87,0.06,66074.82,1,1,1,3,4"
2025-10-08T10:30:00.000-00:00,"1,0.82,100,4.27,0.04,68018.25,1,2,0,1,1"
2025-10-09T01:30:00.000-00:00,"1,0.52,100,2.29,0.04,20007.19,1,1,1,1,3"
