Date,Time,Currency,Event
Wed Oct 1,12:15pm,USD,ADP Non-Farm Employment Change
Wed Oct 1,2:00pm,USD,ISM Manufacturing PMI
Thu Oct 2,6:30am,CHF,CPI m/m
Fri Oct 3,1:05am,JPY,BOJ Gov Ueda Speaks
Fri Oct 3,1:20pm,GBP,BOE Gov Bailey Speaks
Fri Oct 3,2:00pm,USD,ISM Services PMI
Mon Oct 6,3:00pm,GBP,BOE Gov Bailey Speaks
Mon Oct 6,5:00pm,EUR,ECB President Lagarde Speaks
Wed Oct 8,6:00pm,USD,FOMC Meeting Minutes
Thu Oct 9,10:00pm,AUD,RBA Gov Bullock Speaks
Fri Oct 10,12:30pm,CAD,Employment Change
Fri Oct 10,2:00pm,USD,Prelim UoM Consumer Sentiment
Tue Oct 14,4:20pm,USD,Fed Chair Powell Speaks
Tue Oct 14,5:00pm,GBP,BOE Gov Bailey Speaks
Wed Oct 15,7:45pm,AUD,RBA Gov Bullock Speaks
Thu Oct 16,12:30am,AUD,Employment Change
Thu Oct 16,6:00am,GBP,GDP m/m
Thu Oct 16,5:30pm,CAD,BOC Gov Macklem Speaks
Sat Oct 18,1:00pm,GBP,BOE Gov Bailey Speaks
Tue Oct 21,12:30pm,CAD,CPI m/m
Wed Oct 22,6:00am,GBP,CPI y/y
Fri Oct 24,7:30am,EUR,German Flash Manufacturing PMI
Fri Oct 24,8:30am,GBP,Flash Manufacturing PMI
Fri Oct 24,12:30pm,USD,Core CPI m/m
Fri Oct 24,1:45pm,USD,Flash Manufacturing PMI
Mon Oct 27,8:15am,AUD,RBA Gov Bullock Speaks
Wed Oct 29,12:30am,AUD,CPI m/m
Wed Oct 29,1:45pm,CAD,BOC Monetary Policy Report
Wed Oct 29,2:30pm,CAD,BOC Press Conference
Wed Oct 29,6:00pm,USD,Federal Funds Rate
Wed Oct 29,6:30pm,USD,FOMC Press Conference
Thu Oct 30,3:15am,JPY,BOJ Outlook Report
Thu Oct 30,6:30am,JPY,BOJ Press Conference
Thu Oct 30,1:15pm,EUR,Main Refinancing Rate
Thu Oct 30,1:45pm,EUR,ECB Press Conference
Fri Oct 31,12:30pm,CAD,GDP m/m
Mon Nov 3,7:30am,CHF,CPI m/m
Mon Nov 3,3:00pm,USD,ISM Manufacturing PMI
Mon Nov 3,6:30pm,CAD,BOC Gov Macklem Speaks
Tue Nov 4,3:30am,AUD,Cash Rate
Tue Nov 4,4:30am,AUD,RBA Press Conference
Wed Nov 5,1:15pm,USD,ADP Non-Farm Employment Change
Wed Nov 5,3:00pm,USD,ISM Services PMI
Wed Nov 5,9:30pm,CAD,BOC Gov Macklem Speaks
Thu Nov 6,12:00pm,GBP,BOE Monetary Policy Report
Thu Nov 6,12:30pm,GBP,BOE Gov Bailey Speaks
Thu Nov 6,3:30pm,CAD,BOC Gov Macklem Speaks
Fri Nov 7,1:30pm,CAD,Employment Change
Tue Nov 11,7:00am,GBP,Claimant Count Change
Thu Nov 13,12:30am,AUD,Employment Change
Thu Nov 13,7:00am,GBP,GDP m/m
Mon Nov 17,1:30pm,CAD,CPI m/m
Tue Nov 18,8:10am,USD,Unemployment Claims
Wed Nov 19,12:30am,AUD,Wage Price Index q/q
Wed Nov 19,7:00am,GBP,CPI y/y
Wed Nov 19,7:00pm,USD,FOMC Meeting Minutes
